VTX, IDX, _15.x, _15.y, _15.z, _18.x, _18.y, _18.z, _22.x, _22.y, _22.z, _22.w, _21.x, _21.y
2043, 415, -0.14721,  0.21231, -0.16286, -0.07781,  0.67931,  0.72971,  0.57652, -0.56648,  0.58883, -1.00,  0.75098,  0.66113
2044, 426, -0.18933,  0.21467, -0.21627, -0.68581,  0.6688,  0.287,  0.34556, -0.04782,  0.93718, -1.00,  0.68945,  0.68066
2045, 422, -0.16349,  0.20075, -0.1589, -0.19322,  0.54039,  0.81893,  0.56885, -0.61836,  0.54225, -1.00,  0.75049,  0.68066
2046, 415, -0.14721,  0.21231, -0.16286, -0.07781,  0.67931,  0.72971,  0.57652, -0.56648,  0.58883, -1.00,  0.75098,  0.66113
2047, 423, -0.17453,  0.2261, -0.22189, -0.55924,  0.80605,  0.19375,  0.32719, -0.00013,  0.94496, -1.00,  0.68994,  0.66113
2048, 426, -0.18933,  0.21467, -0.21627, -0.68581,  0.6688,  0.287,  0.34556, -0.04782,  0.93718, -1.00,  0.68945,  0.68066
2049, 423, -0.17453,  0.2261, -0.22189, -0.55924,  0.80605,  0.19375,  0.32719, -0.00013,  0.94496, -1.00,  0.68994,  0.66113
2050, 417, -0.17702,  0.21036, -0.26224,  0.98707,  0.13752,  0.08229, -0.14934,  0.60308,  0.78358, -1.00,  0.6499,  0.6543
2051, 427, -0.18203,  0.21446, -0.26634, -0.71166,  0.53582, -0.45436, -0.09144,  0.5706,  0.81612, -1.00,  0.6499,  0.66113
2052, 427, -0.18203,  0.21446, -0.26634, -0.71166,  0.53582, -0.45436, -0.09144,  0.5706,  0.81612, -1.00,  0.6499,  0.66113
2053, 417, -0.17702,  0.21036, -0.26224,  0.98707,  0.13752,  0.08229, -0.14934,  0.60308,  0.78358, -1.00,  0.6499,  0.6543
2054, 424, -0.16298,  0.18262, -0.2787,  0.63874,  0.57634,  0.50975, -0.67697,  0.73583,  0.01634, -1.00,  0.6123,  0.6543
2055, 424, -0.16298,  0.18262, -0.2787,  0.63874,  0.57634,  0.50975, -0.67697,  0.73583,  0.01634, -1.00,  0.6123,  0.6543
2056, 425, -0.13985,  0.12594, -0.26361, -0.03064,  0.61268,  0.78974, -0.59333,  0.62469, -0.50766, -1.00,  0.55029,  0.63818
2057, 428, -0.12805,  0.13425, -0.26968,  0.27423,  0.84128,  0.46589, -0.64745,  0.51973, -0.5574, -1.00,  0.55029,  0.6543
2058, 428, -0.12805,  0.13425, -0.26968,  0.27423,  0.84128,  0.46589, -0.64745,  0.51973, -0.5574, -1.00,  0.55029,  0.6543
2059, 425, -0.13985,  0.12594, -0.26361, -0.03064,  0.61268,  0.78974, -0.59333,  0.62469, -0.50766, -1.00,  0.55029,  0.63818
2060, 429, -0.11326,  0.10529, -0.22393, -0.51369,  0.73866,  0.43647, -0.41939,  0.22762, -0.87881, -1.00,  0.4978,  0.63818
2061, 428, -0.12805,  0.13425, -0.26968,  0.27423,  0.84128,  0.46589, -0.64745,  0.51973, -0.5574, -1.00,  0.55029,  0.6543
2062, 429, -0.11326,  0.10529, -0.22393, -0.51369,  0.73866,  0.43647, -0.41939,  0.22762, -0.87881, -1.00,  0.4978,  0.63818
2063, 430, -0.10011,  0.11339, -0.23054, -0.13518,  0.97076,  0.19837, -0.40423,  0.12875, -0.90555, -1.00,  0.4978,  0.6543
2064, 431, -0.10707,  0.10725, -0.19464, -0.76767,  0.64038, -0.02443, -0.14418, -0.20972, -0.96707, -1.00,  0.46753,  0.63818
2065, 430, -0.10011,  0.11339, -0.23054, -0.13518,  0.97076,  0.19837, -0.40423,  0.12875, -0.90555, -1.00,  0.4978,  0.6543
2066, 429, -0.11326,  0.10529, -0.22393, -0.51369,  0.73866,  0.43647, -0.41939,  0.22762, -0.87881, -1.00,  0.4978,  0.63818
2067, 424, -0.16298,  0.18262, -0.2787,  0.63874,  0.57634,  0.50975, -0.67697,  0.73583,  0.01634, -1.00,  0.6123,  0.6543
2068, 428, -0.12805,  0.13425, -0.26968,  0.27423,  0.84128,  0.46589, -0.64745,  0.51973, -0.5574, -1.00,  0.55029,  0.6543
2069, 432, -0.12769,  0.12995, -0.27473,  0.17569, -0.375, -0.91022, -0.62412,  0.67261, -0.39758, -1.00,  0.55029,  0.66113
2070, 432, -0.12769,  0.12995, -0.27473,  0.17569, -0.375, -0.91022, -0.62412,  0.67261, -0.39758, -1.00,  0.55029,  0.66113
2071, 428, -0.12805,  0.13425, -0.26968,  0.27423,  0.84128,  0.46589, -0.64745,  0.51973, -0.5574, -1.00,  0.55029,  0.6543
2072, 430, -0.10011,  0.11339, -0.23054, -0.13518,  0.97076,  0.19837, -0.40423,  0.12875, -0.90555, -1.00,  0.4978,  0.6543
2073, 423, -0.17453,  0.2261, -0.22189, -0.55924,  0.80605,  0.19375,  0.32719, -0.00013,  0.94496, -1.00,  0.68994,  0.66113
2074, 433, -0.19614,  0.20353, -0.26106, -0.8218,  0.40352, -0.40227, -0.11375,  0.57561,  0.80977, -1.00,  0.64893,  0.68066
2075, 426, -0.18933,  0.21467, -0.21627, -0.68581,  0.6688,  0.287,  0.34556, -0.04782,  0.93718, -1.00,  0.68945,  0.68066
