VTX, IDX, Vertex_Position.x, Vertex_Position.y, Vertex_Position.z, Vertex_UV.x, Vertex_UV.y
861, 202, -363.27133,  1618.03406,  1118.03418,  0.40796,  0.17761
862, 199, -0.00004,  1618.03406,  1175.57056,  0.50,  0.1814
863, 200, -0.00004,  1414.2135,  1414.21362,  0.50,  0.24683
864, 203, -533.69794,  1782.01306,  734.5722,  0.36475,  0.11243
865, 192, -363.27136,  1902.11304,  500.00012,  0.40796,  0.06769
866, 201, -280.58163,  1782.01306,  863.54144,  0.42896,  0.12085
867, 203, -533.69794,  1782.01306,  734.5722,  0.36475,  0.11243
868, 201, -280.58163,  1782.01306,  863.54144,  0.42896,  0.12085
869, 202, -363.27133,  1618.03406,  1118.03418,  0.40796,  0.17761
870, 204, -500.00012,  1902.11304,  363.27136,  0.37329,  0.05875
871, 192, -363.27136,  1902.11304,  500.00012,  0.40796,  0.06769
872, 203, -533.69794,  1782.01306,  734.5722,  0.36475,  0.11243
873, 204, -500.00012,  1902.11304,  363.27136,  0.37329,  0.05875
874, 189, -253.11636,  1975.37671,  183.8998,  0.43579,  0.02908
875, 192, -363.27136,  1902.11304,  500.00012,  0.40796,  0.06769
876, 205, -297.55612,  1975.37671,  96.68185,  0.42456,  0.02336
877, 206,  0.00,  2000.00,  0.00,  0.50,  0.01102
878, 189, -253.11636,  1975.37671,  183.8998,  0.43579,  0.02908
879, 205, -297.55612,  1975.37671,  96.68185,  0.42456,  0.02336
880, 189, -253.11636,  1975.37671,  183.8998,  0.43579,  0.02908
881, 204, -500.00012,  1902.11304,  363.27136,  0.37329,  0.05875
882, 207, -690.98309,  1618.03406,  951.05664,  0.32495,  0.16663
883, 203, -533.69794,  1782.01306,  734.5722,  0.36475,  0.11243
884, 202, -363.27133,  1618.03406,  1118.03418,  0.40796,  0.17761
885, 208, -312.86905,  1975.37671,  0.00,  0.42065,  0.01703
886, 209,  0.00,  2000.00,  0.00,  0.50,  0.01102
887, 205, -297.55612,  1975.37671,  96.68185,  0.42456,  0.02336
888, 210, -734.5722,  1782.01306,  533.69794,  0.31396,  0.09924
889, 204, -500.00012,  1902.11304,  363.27136,  0.37329,  0.05875
890, 203, -533.69794,  1782.01306,  734.5722,  0.36475,  0.11243
891, 210, -734.5722,  1782.01306,  533.69794,  0.31396,  0.09924
892, 203, -533.69794,  1782.01306,  734.5722,  0.36475,  0.11243
