VTX, IDX, _input0.x, _input0.y, _input0.z, _input1.x, _input1.y, _input1.z, _input2.x, _input2.y, _input3.x, _input3.y
8795, 1855, -4.57728, -0.98327,  1.12379, -0.78247,  0.14192,  0.08713,  0.5684,  0.8607,  0.5684,  0.8607
8796, 1850, -4.37752, -0.92061,  1.29099, -0.24882,  0.6288,  0.42744,  0.5463,  0.8683,  0.5463,  0.8683
8797, 1855, -4.57728, -0.98327,  1.12379, -0.78247,  0.14192,  0.08713,  0.5684,  0.8607,  0.5684,  0.8607
8798, 1856, -4.52486, -0.96358,  1.18373, -0.5279,  0.11856,  0.58929,  0.5613,  0.8618,  0.5613,  0.8618
8799, 1952,  3.31278,  1.94177,  1.59899,  0.73093, -0.1343,  0.29616,  0.3457,  0.6127,  0.3457,  0.6127
8800, 1951,  3.1513,  1.619,  1.59046,  0.61244, -0.39779,  0.32662,  0.3347,  0.5932,  0.3347,  0.5932
8801, 1953,  3.28369,  1.75387,  1.40454,  0.76132, -0.22354,  0.10208,  0.3303,  0.6127,  0.3303,  0.6127
8802, 1946,  3.08023,  2.06966,  1.91348,  0.47118,  0.11483,  0.63624,  0.3661,  0.6014,  0.3661,  0.6014
8803, 1950,  3.20662,  1.83358,  1.7481,  0.58959, -0.28646,  0.45861,  0.3486,  0.5999,  0.3486,  0.5999
8804, 1952,  3.31278,  1.94177,  1.59899,  0.73093, -0.1343,  0.29616,  0.3457,  0.6127,  0.3457,  0.6127
8805, 1857, -4.56213, -0.9878,  1.08901, -0.51049, -0.04055, -0.61462,  0.5706,  0.8633,  0.5706,  0.8633
8806, 1855, -4.57728, -0.98327,  1.12379, -0.78247,  0.14192,  0.08713,  0.5684,  0.8607,  0.5684,  0.8607
8807, 1853, -4.44446, -0.90684,  1.16518, -0.29099,  0.74474, -0.02624,  0.5584,  0.87,  0.5584,  0.87
8808, 1857, -4.56213, -0.9878,  1.08901, -0.51049, -0.04055, -0.61462,  0.5706,  0.8633,  0.5706,  0.8633
8809, 1853, -4.44446, -0.90684,  1.16518, -0.29099,  0.74474, -0.02624,  0.5584,  0.87,  0.5584,  0.87
8810, 1854, -4.50484, -0.98225,  1.06633, -0.58845,  0.50016,  0.20872,  0.5699,  0.8688,  0.5699,  0.8688
8811, 1952,  3.31278,  1.94177,  1.59899,  0.73093, -0.1343,  0.29616,  0.3457,  0.6127,  0.3457,  0.6127
